SIO2(WT%),MGO(WT%)
76.79,0.08
60.83,1.29
60.7,1.34
59.66,1.7
66.26,0.42
70.14,0.24
70.7,0.27
65.83,0.76
65.16,0.75
70.11,0.41
69.87,0.24
66.05,0.63
66.07,0.72
63.06,1
61.84,1.1
65.49,0.82
65.84,0.74
70.14,0.25
70.86,0.18
65.49,0.75
64.91,0.81
66.41,0.38
65.1,0.79
,
70.78,0.61
74.76,0.3
70.44,0.82
78.27,0.06
78.3,0.05
77.76,0.06
76.97,0.07
77.93,0.07
78.18,0.07
77.95,0.07
78.18,0.06
76.91,0.07
72.93,0.42
73.01,0.43
75.71,0.14
75.84,0.06
73.58,0.12
74.49,0.12
69.15,0.82
70.82,0.61
73.18,0.57
,
,
,
,
,
72.58244,0.24
76.15944,0.22
74.18,0.13
74.4,0.11
74.4498559374655,5.79866470298655E-02
73.8598184156847,6.43585205241501E-02
75.4278716881109,7.22704349814225E-02
74.3656750110659,6.90507673933004E-02
74.3153652828379,7.34033537506212E-02
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
69.46,1.06
69.39,1.1
72.27,0.65
71.47,0.75
71.24,0.78
72.88,0.42
71.77,0.43
75.3,0.44
72.99,0.42
72.66,0.36
73.48,0.3
69.62,0.55
72.04,0.59
75.32,0.12
75.09,0.18
72.87,0.27
75.83,0.09
76.95,0.09
76.29,0.15
73.81,0.26
75.28,0.26
77.94,0.22
74.95,0.09
76.24,0.05
76.61,0.09
76.52,0.06
72.41,0.46
72.26,0.43
72.45,0.46
71.86,0.56
70.9,0.67
74.1,0.66
69.3,0.2
74.9,0.25
74.3,0.53
73.4,0.28
74.6,0.16
71.9,0.21
72.7,0.19
72.8,0.21
73,0.19
74.3,0.24
73.6,0.2
74.8,0.13
72.7,0.37
73.9,0.15
73,0.39
73.5,0.21
71.6,0.28
71.9,0.36
71.2,0.29
71.3,0.36
72,0.31
72.6,0.34
72.1,0.33
72.9,0.21
71.9,0.34
71.5,0.28
73.3,0.3
72.5,0.26
73.31,0.22
72.5,0.33
71.99,0.33
8.71,1.3
74.622,0.298
75.457,0.235
75.083,0.286
74.584,0.213
75.042,0.115
74.523,0.164
75.657,0
76.311,0
76.048,0
76.387,0.064
75.878,0.088
75.709,0.093
75.896,0.082
76.26,0.054
76.06,0.08
75.01,0.09
76.26,0.14
75.02,0.24
74.33,0.26
75.84,0.1
76.12,0.16
75.11,0.18
75.15,0.15
74.55,0.17
75.59,0.12
74.59,0.13
76.35,0.18
74.21,0.27
75.3,0.2
73.69,0.27
73.02,0.28
75.47,0.27
75.24,0.25
70.72,0.67
70.88,0.68
74.71,0.25
75.19,0.18
74.23,0.28
74.63,0.21
73.49,0.3
71.99,0.65
74.55,0.21
74.1,0.28
73.93,0.48
73.27,0.31
72.61,0.55
73.9,0.42
71.64,0.31
69.44,0.42
75.6,0.27
73.28,0.26
72.71,0.24
72.97,0.22
71.08,0.23
72.64,0.28
71.98,0.28
72.25,0.21
,
73.9719535846435,0.25
73.3906517147029,0.303
73.5021625529864,0.341
74.44,0.1
74.28,0.1
73.98,0.1
70.63,0.13
67.86,0.19
71.05,0.85
71.4,0.83
71.99,0.77
71.62,0.47
73.03,0.74
73.34,0.31
72.47,0.32
73.01,0.64
72.95,0.59
74.44,1.39
74.58,1.3
73.534,0.436
72.121,0.81
71.361,0.814
71.7,0.84
73.019,0.782
73.782,0.552
74.58,0.12
66.35,1.89
75.29,0.15
70.31,0.82
70.7,1.09
78.34,0.29
75.02,0.49
73.73,0.37
71.89,0.37
74.51,0.49
74.86,0.35
75.42,0.14
75.82,0.16
70.29,0.38
71.43,0.59
71,0.37
72.89,0.28
73.76,0.31
75.72,0.15
76.78,0.19
78.48,0.13
75.5,0.23
68.75,1.11
69.39,1.34
72.84,0.16
74.85,0.21
71.5,0.57
73.18,0.61
72.78,0.28
76.4,0.1
75.8,0.17
76.35,0.38
76.14,0.17
74.72,0.2
72.44,0.32
70.27,0.98
72.52,0.54
74.4,0.05
75.6,0.11
75.7,0.05
76.1,0.05
77.9,0.12
71.1,0.16
73.9,0.17
74.4,0.05
75,0.05
75.9,0.23
73.9,0.05
74.2,0.05
76.6,0.05
77,0.05
77.2,0.05
77.7,0.05
78.3,0.05
,
,
68.85,0.8
67.44,0.94
74.13,0.28
69.88,0.71
72.67,0.36
76.2,0.05
77.47,0.03
74.56,0.49
72.22,0.69
74.41,0.52
75.05,0.46
73.7,0.64
72.49,0.91
75.04,0.44
74.81,0.6
75.93,0.55
71.92,0.7
71.99,0.8
73.0241,0.65
71.31,0.77
,
,
71.64,0.68
71.41,0.64
69.03,1.32
72.5,0.87
71.735,0.539
71.627,0.359
72.741,0.596
71.08,0.21
75.85,0.08
71.8,0.09
74.58,0.05
71.06,0.61
77.36,0.05
73.1,0.64
72.1,0.67
71.9,0.57
68.9,0.73
68.7,0.94
72.7,0.38
72.4,0.39
72.7,0.36
72.8,0.36
75.4,1.58
78.87,0.8
77.17,0.2
77.48,1.06
76.79,0.75
77.58,0.29
79.11,1.06
76.65,1.16
77.15,0.33
75.81,0.79
76.4,0.7
75.36,0.09
69.49,0.11
72.72,0.54
69.44,1.42
70.26,1.3
64.55,1.25
68.06,0.83
69.76,0.61
67.59,0.8
70.43,0.42
73.39,0.32
64.98,1.21
67.64,0.17
70.84,0.53
72.89,0.29
63.19,3.66
71.11,1.35
60.86,4.31
73.98,0.1
72.85,0.03
75.22,0.18
74.49,0.05
74.29,0.07
73.72,0.1
73.29,0.12
73.48,0.09
73.62,0.08
75.27,0.14
74.57,0.12
74.99,0.11
75,0.14
74.58,0.14
74.22,0.13
75.07,0.12
76.22,0.06
75.35,0.1
76.34,0.05
76.19,0.07
76.87,0.07
65.51,0.69
67.83,0.61
68.52,0.66
68.52,0.53
67.46,0.71
62.06,2.51
67.677,1.804
68.055,1.917
68.509,1.644
68.504,1.776
68.265,1.657
68.159,1.88
75.822,0.292
77.137,0.245
78.816,0.073
80.782,0.058
72.777,0.036
73.42,0.15
72.47,0.16
74.23,0.13
74.13,0.16
68.34,0.57
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
70.83,0.28
72,0.16
73.5,0.27
72.5,0.16
71.7,0.51
70.5,0.43
71.3,0.3
65.78,0.98
66.64,0.99
65.87,1.02
65.74,0.89
72.8,0.19
72.69,0.3
73.89,0.18
74.42,0.08
74.79,0.09
74.97,0.11
72.94,0.26
74.4,0.11
74.8,0.16
74.9,0.26
74.2,0.17
73.1,0.16
73.44,0.08
71.5,0.23
73.4,0.27
73.3,0.28
74.5,0.28
74.2,0.19
73.1,0.41
73.4,0.19
74.6,0.15
70.9,0.61
71.9,0.59
70.6,0.64
70.1,1
71.6,0.5
66.7,1
71.9,0.4
66.6,1.22
68.6,1.07
68.8,1.32
71.1,0.71
66.1,1.45
67.3,1.1
72.61,0.51
72.97,0.39
71.62,0.39
71.02,0.38
70.18,0.84
65.94,1.41
62.55,2.08
67.6,0.99
74.7,0.2
