SIO2(WT%),MGO(WT%)
73.2758840486476,0.451620256822866
74.445822119891,0.264727102697089
74.4089503021989,0.193530361310972
73.8292765769302,0.308336645969695
71.8649987758706,0.528938162847265
73.5660141229512,0.473387534777007
72.4714589125433,0.468580412352306
73.0252353826036,0.228206961208696
75.2481557565575,0.202028509702171
73.701568357784,0.241448213653496
75.4445614844514,0.118363913205665
73.7610714226264,0.407623841697137
76.7548596083644,0.111623137041795
75.6407003795694,0.102611615618892
77.6576884734228,5.67011444398414E-02
76.6696955073123,4.06788420032327E-02
77.5377995328739,3.88775575555023E-02
74.3927098534802,0.190364646534944
73.5957240937075,0.202350362864647
74.5551122341596,0.247250877015172
77.1324264773951,4.48745822966693E-02
78.2474061440302,3.68875388490798E-02
77.435948434367,3.08990256209422E-02
76.7136343024792,6.55901424217691E-02
65.73,0.97
66.91,1.3
61.3,2
67.27,0.87
67.56,1.02
67.48,0.72
63.79,1.62
72.27,0.9
68.9,0.81
70.21,0.91
70.39,0.59
70.27,0.47
72.74,1.3
69.92,0.76
68.31,0.88
62.05,0.59
70.8,0.54
69.4,0.42
,
70.1,0.24
73.62,0.57
73.04,0.5
72.49,0.58
73.46,0.38
69.32,1.7
66.22,3.03
66.68,2.75
64.81,1.26
62.66,1.31
65.7,1.13
65.45,0.76
66.65,0.78
68.26,0.82
68.72,0.87
68.8,0.83
73.68,0.42
68.68,0.82
72.53,0.59
72.55,0.5
73.96,0.39
72.87,0.55
72.92,0.55
72.31,0.49
72.88,0.57
72.17,0.54
70.87,0.46
72.21,0.65
72.63,0.38
73.5,0.56
75.32,0.55
69.34,0.36
72.26,0.52
73.75,0.61
73.01,0.17
71.94,0.26
75.75,0.16
71.24,0.6
71.87,0.47
71.79,0.47
71.28,0.52
72.8,0.06
73.01,0.05
72.89,0.06
,
71.11,0.07
70.97,0.07
73.26,0.08
72.45,0.08
73.68,0.03
75.14,0.02
74.71,0
76.71,0
71.11,0.26
72.86,0.11
66.74,0.71
73.7,0.01
72.58,0.08
72.75,0.12
74.19,0.02
73,0.6
77.1,0.5
72.5,0.6
72.8,0.5
71.8,1
71.1,1
71.3,0.6
73.18,0.08
73.77,0.06
73.36,0.03
73.74,0.03
73.54,0
74.07,0
74.64,0
71.28,0.26
70.75,0.11
73.29,0.03
,
,
,
,
,
,
,
,
,
,
,
,
74.1282,0.3
73.2333,0.54
67.653370014,2.11
69.51,0.6
72.72,0.39
75.83,0.19
74.2,0.48
75.7,0.21
67.91,1.18
63.93,2.54
75.89,0.22
74.02,0.47
73.24,0.57
74.46,0.38
77.74,0.23
60.9,3.18
62.26,2.56
63.88,2.49
59.44,2.91
76.3,0.57
75.1,0.21
66.09,0.47
66.74,0.48
65.49,0.97
65.67,1
65.52,0.49
65,0.99
66.34,0.46
65.48,1
71.15,0.61
69.96,0.66
69.31,0.61
68.23,0.72
69.1,0.65
70.24,0.68
70,0.69
73.62,0.25
69.7,0.69
73.62,0.28
72.81,0.26
69.75,0.91
72.71,0.28
67.66,0.95
68.18,0.92
68.29,0.97
67.87,0.93
64.18,1.54
70.42,0.62
71.25,0.55
65.78,1.33
66.8,0.96
65.19,1.25
65.51,1.29
66.88,1.61
65.9,1.7
69.64,0.65
68.92,0.6
68.96,0.64
65.7,0.6
70.87,0.8
70.22,0.95
70.52,0.93
76.02,0.22
75.12,0.21
69.14,0.58
69.19,0.56
68.92,0.6
69,0.56
72.49,0.34
71.38,0.51
71.31,0.41
,
,
,
,
,
,
,
,
,
77.44,3.82
77.73,0.04
76.16,0.04
77.84,0.04
78.48,0.03
75.14,0.3
77.23,0.19
75.11,0.25
76.56,0.19
77.05,0.14
75.19,0.34
77.19,0.22
75.93,0.23
74.53,0.35
77.18,0.22
76.93,0.21
75.25,0.24
76.58,0.24
75.84,0.17
76.04,0.21
76.14,0.27
75.31,0.32
76.22,0.17
75.72,0.21
76.02,0.21
75.92,0.29
68.5,1.49
68.1,1.31
67.9,1.36
70.3,1.26
69.8,1.19
,
,
,
,
,
71.79,0.39
72.01,0.45
72.74,0.28
72.65,0.37
72.08,0.42
72.05,0.4
,
75.02,0.13
76.25,0.1
73.3,0.56
76.94,0.18
72.71,0.22
75.4,0.1
63.5,1.63
66.26,1.27
69.56,0.74
72.88,0.44
72.33,0.4
71.67,0.47
71.86,0.52
73.12,0.51
72.66,0.16
73.63,0.17
73.39,0.12
75.33,0.14
75.15,0.12
77.31,0.1
75.38,0.09
75.38,0.08
72.93,0.49
75.97,0.04
76.81,0.04
76.79,0.03
77.23,0.04
75.38,0.35
75.72,0.41
75.5,0.34
75.32,0.36
75.17,0.33
73.34,0.7
73.71,0.72
74.3,0.57
76.49,0.29
74.19,0.46
74.13,0.58
74.51,0.34
74.31,0.34
73.39,0.55
73.61,0.51
73.58,0.55
69.96,1.56
69.41,2.3
69.95,1.6
70.02,1.54
70.05,1.33
69.65,1.4
71.55,1.21
69.68,1.37
69.97,1.24
70.48,1.19
71.8,0.86
71.79,0.86
71.59,1.33
70.81,1.36
71.81,1.25
71.51,1.24
70.7,1.44
68.25,2.04
68.34,1.97
68.73,2
70.64,1.18
70.61,1.21
70.78,1.03
71.74,1.02
72.04,1.06
76.8,0.1
77.51,0.1
75.56,0.12
73.64,0.22
74.26,0.27
73.3,0.24
73.47,0.26
73.13,0.23
73.1,0.41
76.47,0.11
75.5,0.17
75.2,0.15
72.49,0.81
74.24,0.38
72.68,0.01
73.53,0.01
72.04,0.15
77.34,0
77.2,0.1
76.27,0.06
78.03,0
77.53,0
76.96,0
75.89,0.01
76.36,0.02
75.1,0.2
76.79,0
75.02,0.43
74.4,0.43
71.6,0.11
73.1,0.1
71.3,0.19
74.1,0.1
74.4,0.1
73.3,0.16
74.5,0.15
72.3,0.2
73.9,0.05
71.6,0.18
72.9,0.14
74.4,0.09
73.2,0.25
73.6,0.21
70.9,0.27
71.6,0.21
74.8,0.06
75.9,0.22
73.5,0.23
72.2,0.25
69.2,0.46
75.9,0.07
74.1,0.07
74.8,0.08
61.46,0.67
65.9,0.79
67.34,0.79
59.11,1.09
69.72,0.49
69.62,0.74
68.55,0.79
70.9,0.58
70.18,0.51
69.47,0.32
70.42,0.39
70.23,0.37
74.38,0.37
72.66,0.19
73.72,0.11
75.45,0.07
71.68,0.2
74.04,0.22
71.89,0.18
73.66,0.27
76.36,0.32
77.35,0.24
74.66,0.3
76.95,0.19
74.51,0.44
75.65,0.17
75.79,0.15
74.98,0.13
75.43,0.14
76.27,0.13
77.24,0.15
76.32,0.16
76.55,0.15
76.89,0.17
77.11,0.15
,
68.5,1.02
69.8,0.82
69.3,0.95
69.4,0.88
67.2,1.03
68.3,0.93
68.4,1.06
68.7,0.89
64.4,0.66
68.6,0.97
70.7,0.85
78.58,0.07
78.48,0.09
78.46,0.08
69.9,0.9
66.1,1.19
67.2,1.06
68.3,1.02
64.7,1.56
74.5,0.11
74.7,0.26
73.5,0.23
72,0.45
73.4,0.25
71.9,0.27
73.2,0.26
75.6,0.2
73,0.26
74.1,0.21
74.3,0.26
76.9,0.16
71.2,0.41
72.27,0.71
69.91,0.7
76.5,0.41
71.4,0.35
71.6,0.45
74.96,0.08
71.54,0.44
70.2,0.52
75.58,0.1
74.94,0.16
73.53,0.22
71.87,0.41
72.61,0.48
67.75,1.37
72.66,0.33
70.17,0.52
72.62,0.6
72.36,0
69.43,0.59
,
,
,
,
69.61,1.07
69.48,1.05
71.61,0.73
72.72,0.73
70.98,0.7
71.53,0.75
,
,
71.9,0.52
72.18,0.45
73.58,0.42
72.94,0.38
71.43,0.42
72.65,0.44
73.01,0.42
72.53,0.52
72.61,0.49
73.37,0.56
76.84,0.09
76.11,0.16
74.07,0.34
75.17,0.29
74.57,0.22
73.41,0.31
74.98,0.15
74.98,0.16
74.83,0.11
73.12,0.19
75.41,0.21
74.4,0.43
72.94,0.45
75.41,0.28
74.5,0.31
74.75,0.21
75.2,0.25
76.4,0.08
77.76,0.06
66.7,0.84
71.45,0.4
66.5,0.93
66.43,0.93
66.66,0.86
68.88,0.62
69.07,1.03
67.05,1.05
67.78,0.94
64.61,0.62
68.04,0.44
67.44,0.83
70.08,0.6
67.16,0.64
70.56,0.57
72.03,0.57
70.71,0.55
69.59,0.57
72.94,0.42
71.07,0.36
70.63,0.66
73.69,0.5
71.94,0.39
72.54,0.29
76.06,0.05
76.77,0.07
75.62,0.05
76.07,0.07
76.18,0.06
76.04,0.06
62,4.25
60.3,4.35
62,5.7
76.94,0.15
75.7,0.18
73.96,0.19
79.31,0.07
78.55,0.08
77.56,0.11
63.93,0.44
72.64,0.29
75.81,0.22
74.16,0.37
76.58,0.15
70.51,0.42
70.73,0.62
58.35,1.55
62.85,1.47
68.72,0.41
68.61,1.05
74.54,0.35
72.34,0.4
66.49,0.75
64.66,0.66
64.67,0.61
76.51,0.19
71.65,0.62
,
,
68.2,1.5
69.5,1.3
72.5,0.28
72.8,0.52
73.4,0.2
73.7,0.32
73.8,0.23
74,0.26
73,0.46
74.7,0.21
75.4,0.19
74,0.19
75,0.14
75.4,0.16
75.5,0.19
70.9,0.9
72.3,0.9
71.8,0.6
68,0.9
69,0.9
70.3,0.7
67,1.2
68.3,1.2
72.3,0.5
69,1.1
68,1.1
70.3,0.9
69.11,1.08
70.25,0.53
71.31,0.54
72,0.7
73.5,0.6
75.96,0.29
73,0.6
73.5,0.45
75.7,0.3
76,0.2
71.16,0.34
71.5,0.43
73,0.3
73.2,0.3
74,0.3
74,0.3
74.8,0.3
74.3,0.18
74.4,0.16
74.8,0.19
75,0.22
75.1,0.17
75.5,0.2
75.9,0.14
74,0.3
74.61,0.22
75,0.2
75.8,0.2
76,0.05
76.3,0.15
75,0.6
76.6,0.05
76.8,0.01
76.9,0.01
76.9,0.01
77,0.05
77.2,0.01
76,0.09
76.5,
76.4,0.1
77.3,
77.7,0.1
76.3,0.1
70,0.3
73.6,0.2
73.7,0.2
74.6,0.2
72.7,
69.5,0.6
70.6,0.4
71.4,0.4
72.6,0.3
72.85,0.09
74.5,
74.72,0.07
75.49,0.09
75.52,0.06
75.7,0.03
77,0.05
77.5,0.05
73.52,0.17
74.49,0.08
69.76,0.44
73.61,0.15
76.4,0.05
75.5,0.05
77,0.05
73.8,0.2
71.8,
72.1,
72.2,
73.4,
74.4,
76,
77.8,
77.57,0.08
71.58,0.48
75.26,0.23
74.36,0.19
74.64,0.3
70.55,0.56
75.53,0.28
75.35,0.27
71.85,0.47
68.23,0.6
67.47,0.49
68.02,0.98
70.42,0.54
76.02,0.43
77.06,0.39
73.33,0.31
72.74,0.27
72.09,0.36
73.18,0.28
74.89,0.25
74.7,0.35
74.7,0.24
73.98,0.23
69.03,0.59
70.01,0.84
70.11,0.92
71.78,0.66
72.06,0.67
72.878,0.13
72.78,0.36
72.91,0.42
68.22,1.03
67.57,1.13
67.5,1.07
67.19,1.14
70.17,0.75
68.91,1.06
68.95,0.65
72.2,0.49
76.24,0.25
70.53,0.35
70.53,0.65
71.44,0.63
74,0.55
72.37,0.75
72.03,0.22
73.38,0.59
70.3,0.66
65.78,0.91
66.3,0.71
70.98,0.79
69.29,0.37
71.15,0.55
66.8,1.17
69.82,0.35
67.09,1.6
61.8,1.26
71.01,0.51
72.46,0.25
72.63,0.25
72.62,0.27
,
,
,
,
,
,
,
,
80.13,0.26
76.34,0.2
,
,
,
,
72.5,0.39
72.78,0.46
76.73,0.11
75.18,0.08
70.57,0.77
68.1,0.96
73.1,0.68
65.4,2.24
62.2,2.54
65,2.67
69.7,1.43
68.6,1.28
68.7,1.53
69.6,1.4
69.4,1.46
68.8,1.46
70.8,0.82
69.6,0.77
71.8,0.8
69,0.9
69.8,0.82
71,0.89
70.1,0.81
71.7,0.79
73.8,0.58
74.6,0.36
76,0.34
74.9,0.44
74,0.53
74.5,0.53
74.1,0.55
79.1,0.07
75,0.53
75.2,0.56
74.4,0.74
73.5,0.67
72.2,0.67
73.1,0.68
71.7,0.56
74.8,0.55
74.2,0.56
75.41,0.32
74.03,0.22
75.7,0.32
75.93,0.11
73.64,0.52
73.66,0.48
73.67,0.51
73.35,0.51
76.43,0.12
75.51,0.09
76.07,0.19
74.83,0.21
74.92,0.31
74.8,0.33
76.02,0.17
76.36,0.2
74.06,0.35
74.18,0.37
74.32,0.36
73.5,0.64
72.62,0.64
74.18,0.37
74.83,0.05
75.67,0.13
75.96,0.09
73.37,0.48
74.8,0.44
74.14,0.43
73.19,0.4
73.15,0.39
73.28,0.38
75.65,0.13
76.16,0.19
75.93,0.19
76.47,0.22
75.44,0.24
73.06,0.6
73.86,0.42
73.16,0.41
75,0.08
74.93,0.08
73.41,0.3
73.1,0.5
73.22,0.34
72.83,0.35
71.5,0.7
73.92,0.37
73.24,0.49
73.57,0.36
73.75,0.25
75.5,0.08
75.36,0.14
73.89,0.2
72.17,0.52
73.1,0.33
73.2,0.39
75.24,0.13
74.19,0.12
75.12,0.13
73.83,0.32
72.42,0.48
73.58,0.3
72.45,0.49
74.4,0.27
74.16,0.31
74.13,0.31
72.22,0.34
72.13,0.53
72.13,0.53
72.86,0.49
71.06,0.61
71.2,0.61
71.4,0.59
74.76,0.24
74.75,0.28
76.43,0.14
73.9,0.09
73.96,0.33
73.48,0.34
74.58,0.3
73.82,0.37
73.41,0.28
71.4,0.63
74.16,0.17
74.92,0.32
72.68,0.18
73.23,0.4
73.81,0.23
74.7,0.14
75.48,0.16
70.21,1.2
68.07,1.76
73.01,0.55
72.1,0.78
72.86,0.55
74.08,0.11
74.46,0.06
75.36,0.08
75.81,0.07
73.87,0.06
74.98,0.08
75.02,0.07
75.33,0.07
,
,
,
,
,
,
,
72.5,0.28
72.8,0.52
73,0.46
73.7,0.32
73.4,0.2
73.8,0.23
74,0.26
74,0.19
74.7,0.21
75,0.14
75.4,0.19
75.4,0.16
75.5,0.19
73.2,0.27
73.2,0.29
73.4,0.23
73.5,0.27
73.6,0.27
72.9,0.37
73,0.29
73.1,0.34
73.3,0.29
73.39,0.12
70.24,0.55
71.17,0.56
74.1,0.3
74.5,0.2
68,0.56
71.3,0.76
74.07,0.41
73.0989624060272,0.311385555493968
72.9169632378061,0.43441604685101
75.797268479722,0.322523490152998
72.6023939432389,0.518266468407232
71.7571312929277,0.470150077620545
74.2080411966094,0.264765679508206
74.88,0.2
75.87,0.42
69.82,1.73
74.5536386416718,0.302740021114689
72.125241445609,0.508893495103428
71.9284600849916,0.441507411373776
66.5736108840576,1.20291041086169
74.1485351135879,0.231434678388644
73.02,0.56
72.89,0.54
74.88,0.65
73.36,0.72
75.48,0.44
76.3,0.24
75.33,0.71
73.26,0.68
70.62,0.65
74.44,0.24
74.82,0.19
76.12,0.18
72.64,0.58
74.44,0.54
72.52,0.48
72.03,0.69
75.23,4.04
82.03,0.64
75.85,0.98
73.54,0.5
68.88,0.91
72.78,0.6
69.96,1.05
75.85,0.11
76.31,0.12
73.73,0.1
75.41,0.15
75.47,0.13
76.85,0.15
76.72,0.15
76.71,0.1
76.09,0.11
75.61,0.12
76.18,0.12
76.07,0.1
75.31,0.1
76.3,0.11
74.07,0.13
75.84,0.15
76.43,0.1
77.64,0.14
75.86,0.09
76.62,0.11
75.16,0.1
75.48,0.17
76.3,0.11
76.12,0.12
74.95,0.07
76.44,0.08
75.74,0.09
72.13,0.37
72.64,0.54
74.03,0.63
66.05,1.48
73.38,0.43
71.96,0.12
72.98,0.07
74.21,0.1
76.56,0.12
75.26,0.07
75.87,0.06
75.84,0.02
74.69,0.03
74.42,0.1
75.66,0.03
75.56,0.06
75.71,0.14
75.43,0.12
77.36,0.05
75.7,0.15
75.53,0.07
70.13,0.74
73.98,0.25
69.71,0.89
70.87,0.75
69.12,1.08
69.88,1
69.9,0.67
68.5,0.92
78.1,1.56
73.3,0.58
73.6,0.37
74.6,0.27
70.4,1.04
71.5,0.61
,
,
,
,
,
,
,
,
,
68.44,1.54
68.21,1.53
66.51,1.72
66.89,1.73
64.17,0.87
70.24,0.58
73.45,0.61
72.68,0.52
72.75,0.56
62.28,2.87
62.77,2.81
62.76,2.63
63.09,2.77
63.01,2.73
63.24,2.66
63.49,2.7
63.45,2.58
63.46,2.62
63.71,2.55
64.06,2.47
64.91,2.3
65.37,2.23
65.81,2.16
67.32,2.43
67.86,2.23
66.59,2.66
67.46,2.45
72.5512067,0.80105455
72.806843,0.94489755
69.1824537,1.01306858
72.093498,0.72471165
72.3865478,0.63816856
71.1659557,0.95470242
70.1208981,1.00579092
71.6774716,0.94205835
77.5308605,0.30495946
70.2154927,0.81729076
74.7336128,0.72176502
69.2885458,0.74078264
69.2458989800677,1.41938885171442
70.2318272723562,1.46932778253949
71.3809879484022,1.30205704826695
70.8661417322835,1.22304994289064
73.5982138326483,0.700258791292434
71.4683459719958,1.23518036670683
70.9556319450513,1.34259482838125
70.0899133744686,1.57288787795608
69.8126054833076,1.64288815925273
74.0245259269025,0.832192367151906
76.3063694306627,0.295800656795778
70.5034647431495,1.36346720675163
69.7693356770832,1.56527374982882
70.1818551254699,1.30041653967286
68.5268268698912,1.6491508409645
68.5481424555585,1.71901227577002
68.4270186021092,1.62945570107079
71.2411063951939,1.21998728752742
70.5231972145017,1.42532807998127
71.8635186720293,1.19738417610758
73.7737979993546,0.74620845434011
70.2898412499628,1.42910852433234
69.1856609139187,1.53949820188649
70.4444910213299,1.4225052276051
70.7354991055885,1.30331709882184
73.5566616139943,0.569025148554176
71.2453358138001,1.24742723204234
70.2498603834492,1.44335201649903
71.1011283527451,1.36224638250898
71.3337992363242,1.14450082545856
71.25,0.79
71.66,0.69
72.63,0.63
73.46,0.5
74.41,0.54
75.71,0.24
76.66,0.11
77.48,0.14
72.69,0.31
72.96,0.59
76.51,0.12
77.05,0.2
77.21,0.09
78.22,0.21
70.31,0.93
70.43,0.96
70.59,0.81
71.09,0.84
71.44,0.9
73.95,0.52
74.2,0.31
74.73,0.28
74.78,0.2
75.45,0.3
75.69,0.11
75.84,0.26
75.84,0.14
76.01,0.03
72.22,0.58
71.87,0.96
66.91,1.21
73.7,0.28
75.5,0
74.9,0.1
,
76.79,0.12
74.95,0.18
76.88,0.15
75.65,0.14
77.44,0.11
74.15,0.17
75.27,0.12
74.8,0.1
74.85,0.15
75.19,0.18
71.06,0.36
72.95,0.18
76.15,0.09
76.07,0.09
76.66,0.09
75.46,0.09
77.73,0.12
65.1,1.56
59.08,5.89
62.43,6.81
68.01,2.21
69.67,1.21
69.62,2.03
70.81,1.25
71.15,1.13
72.16,1.43
68.68,1.18
71.97,0.77
71.9,0.93
73.44,1
74.61,0.9
73.43,0.84
74.35,1.1
74.98,1.07
70.32,0.83
70.42,0.23
73.28,0.2
69.14,1.02
71.31,0.69
72.17,0.72
74.43,0.48
77.24,0.39
70.96,0.64
72.4,0.52
77.34,0.04
86.86,0.04
75.74,0.04
76.53,0.05
73.07,0.01
76.52,0
70.86,0
69.53,0
70.78,0
76.73,0.04
77.25,0.03
76.07,0.01
76.01,0.01
76.31,0.01
76.85,0.03
76.92,0.01
76.28,0.01
76.43,0.02
76.69,
75.39,0.01
75.92,0.01
77.58,0.01
75.37,0.01
75.74,0.02
75.27,0.02
74.9,0.02
73.51,0.02
76.9,0.04
64.2,0.66
64.22,0.59
64.59,0.65
64.85,0.61
67.04,0.52
68.06,0.43
68.93,0.38
71.57,0.13
72.75,0.19
73.5,0.09
76.04,0.22
74.2,0.25
75.31,0.25
75.57,0.2
75.21,0.1
76.16,0.04
76.86,0.03
75.21,0.08
72.45,0.38
75.84,0.09
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
72.16,0.4
70.41,0.49
74.65,0.18
73.79,0.16
72.65,0.29
72.52,0.12
74.06,0.18
74.45,0.22
73.94,0.1
70.96,0.57
77.96,0.28
77.99,0.17
78,0.09
77.84,0.15
77.69,0.18
75.99,0.1
72.8,0.33
73.4,0.32
73.5,0.3
72.7,0.22
72.9,0.31
73.2,0.27
76.08,0.46
77.2,0.39
77.53,0.44
76.5,0.4
77.14,0.35
75.51,0.33
77.64,0.27
76.74,0.34
72.69,0.53
,
,
,
64.94,0.13
74.94,0.09
78.43,0.03
74.68,0.08
72.74,0.41
74.89,0.28
75.8,0.05
74.44,0.26
72.85,0.22
73.01,0.21
69.09,0.77
68.97,0.76
68.6,0.79
75.72,0.11
75.93,0.11
76.25,0.11
73.07,0.47
73.71,0.36
72.42,0.37
72.57,0.33
72.98,0.27
70.47,0.38
72.2,0.37
71.58,0.42
69.2,0.85
75.04,0.19
74.88,0.18
70.38,0.62
70.13,0.82
70.59,0.69
74.48,0.3
73.67,0.35
75.68,0.2
74.27,0.32
74.29,0.33
74.55,0.32
73.97,0.21
74.65,0.31
72.54,0.38
72.35,0.24
72.9,0.36
69.7,0.83
,
,
74.8,2.02
74.8,0.73
72.7,0.59
72.9,0.61
69.4,0.64
71.7,0.55
70.5,0.92
71.4,0.62
69.26,0.62
73.41,0.52
72.6,0.7
76.2,0.11
74.8,0.41
72.6,0.21
70.1,0.78
70.1,0.51
73,0.42
73,0.4
73.7,0.38
73.4,0.51
73.3,0.52
74.8,0.26
72.1,0.49
,
,
72.5184874711352,0.900720091690392
70.2367347538823,1.9564942145871
67.32,1.02
68.97,0.77
69.66,0.93
69.03,0.81
70.76,0.8
69.36,0.99
68.6,1.07
69.19,1.19
70.92,0.64
70.51,0.78
72.16,0.5
72.93,0.49
66.75,1.26
68.43,1.03
71.46,0.47
70.42,0.7
72.75,0.43
71.05,0.62
73.05,0.45
71.68,0.52
72.42,0.39
71.82,0.47
72.8,0.29
72.45,0.54
73.22,0.27
70.63,0.87
74.69,0.19
73.27,0.38
73,0.39
77.41,0.09
75.77,0.19
70.22,0.97
70.74,1.04
74.39,0.64
72.91,0.44
75.49,0.27
76.78,0.16
76.21,0.2
,
70.8,0.43
69.87,0.48
61.93,0.74
68.96,0.55
76.74,0.1
69.07,0.53
73.71,0.14
70.2,0.51
71.32,0.4
69.93,0.51
71.13,0.43
69.79,0.53
70.02,0.51
68.38,0.82
66.56,0.71
71.5,0.48
72.11,0.32
70.23,0.66
70.39,0.53
72.91,0.25
72.45,0.34
72.95,0.33
71.01,0.54
75.11,0.25
69.17,1.16
76.85,0.13
72.54,0.46
76.01,0.27
,
72.91,0
71.86,0
74.48,0.03
74.69,0.01
71.22,0.1
70.64,0.05
71.87,0.06
72.09,0.04
74.83,0
74.34,0.03
75.02,0.06
73.5,0.04
73.6,0.07
74.39,0.05
68.16,1.27
74.39,0
69.77,0.72
74.36,0.22
70.13,1.02
77.17,0.15
73.4,0.13
74.03,0.5
75.04,0.07
,
,
63.44,2.11
62.26,2.34
61.72,2.55
65.17,1.96
64.26,2.08
68.9,0.82
74.51,0.05
68.02,0.99
73.57,0.22
77.25,0.11
73.34,0.43
72.64,0.19
71.39,0.73
71.08,0.52
71.67,0.63
71.91,0.48
71.42,0.63
72.03,0.5
66.01,1.58
63.04,2.29
64.6,2.27
71.44,0.64
65.32,2.18
64.19,2.21
65.63,2.14
65.38,1.94
71.61,0.51
71.54,0.51
63.43,2.25
71.99,0.59
68.63,1.01
70.2,0.92
66.72,1.35
69.73,0.82
67.84,1.03
75.5,0.34
74.9,0.31
75.1,0.35
75.3,0.38
74.7,0.35
75.2,0.3
75.5,0.34
73.6,1.18
74.1,0.96
74.1,0.76
74,1.07
75.8,0.78
56.1,4.34
56.2,4.64
62.5,2.79
57.2,4.05
57.4,4.28
58,3.53
72.8,0.46
72.8,0.47
72.6,0.43
75.7,0.25
72.5,0.45
74.2,0.34
73.7,0.32
73.2,0.33
72.8,0.38
72.7,0.37
72.8,0.37
72.2,0.71
70.8,0.7
71.7,0.79
70,0.82
71.7,0.81
73.21,0.46
73.66,0.42
73.99,0.5
76.1,0.05
74.65,0.12
73.19,0.41
73.3,0.27
71.01,1.35
76.9,0.23
76.2,0.22
77,0.12
77,0.27
,
,
,
,
,
,
,
,
,
,
,
,
74.43,0.02
74.45,0.01
76.24,0.03
71.69,0.5
76.46,0.07
76.71,0.04
71.7,0.62
74.51,0.23
74.52,0.3
72.96,0.56
72.74,0.53
74.88,0.06
76,0.04
76.67,0.04
75.85,0.07
76.08,0.06
76.28,0.08
76.56,0.07
69.73,1.02
69.53,1.04
69.56,1.04
69.87,0.96
69.09,1.09
69,0.97
69.26,1.01
69.69,0.99
69.61,1.01
69.47,1.02
69.55,1.01
,
,
,
,
,
,
,
,
,
,
,
,
73.44,0
73.75,0
74.44,0
73.7,0
75.44,0
74.84,0
73.55,0
74.72,0
76,0.04
73.42,0.02
75.49,0
74.4,0
74,0.02
72.68,0.04
76.29,0.04
72.84,0
74.56,0
72.9,0
72.64,0.09
69.85,0.06
74.23,0
70.31,0
73.78,0.05
69.71,0
67.38,0
69.48,0
71.61,0
73.92,0
73.92,0
71.83,0.05
70.38,0.1
70.23,0.09
68.16,0.07
73.42,0.23
69.68,0.1
72.68,0
71.49,0
69.12,0
68.92,0
70.14,0
67.82,0
66.94,0
72.71,0
69.11,0.1
69.23,0.15
71.59,0
64.8,1.05
66.8,0.6
64.1,0.71
68.7,0.41
63.8,0.53
68.2,0.5
67.4,0.47
61.2,0.92
64.7,0.53
67.1,0.25
68.6,0.21
68.2,0.22
70,0.23
70.2,0.22
68.9,0.21
68.3,0.23
72,0.32
68.8,0.22
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
68.14,0.76
69.09,0.94
69.11,0.82
69,0.88
69.11,0.97
66.82,1.07
68.53,1
68.41,0.93
69.05,0.73
68.65,0.98
69.45,0.88
69.47,0.82
68.93,0.7
,
73.64,0.33
74.1,0.25
74.3,0.25
74.6,0.23
69.62,0.76
69.79,0.84
70.57,0.88
,
76.1,0.09
76.72,0.07
76.69,0.06
75.74,0.12
72.78,0.23
71.97,0.25
72.59,0.21
72.35,0.25
71.93,0.2
71.13,0.17
71.9,0.22
71.9,0.19
74.97,0.18
74.85,0.2
73.94,0.18
75.36,0.14
72.95,0.25
74.26,0.25
74.05,0.27
73.99,0.28
74.62,0.08
74.5,0.11
74.03,0.08
74.72,0.1
73.63,0.17
73.05,0.17
74.05,0.15
73.76,0.17
75.71,0.05
75.21,0.06
75.99,0.04
75.81,0.06
76.7,0.04
75.74,0.06
73.2480914115838,0.236335634064113
70.5880029646712,0.797064170784453
73.7549103017755,0.784616112723922
71.0516190205674,0.221372440293773
72.9760305417077,0.209487265068097
70.3610272616182,0.224337788476703
72.9760188528863,0.255823102355322
74.4515721432496,8.55982567655442E-02
76.1454784230498,0.119834597835614
71.4018136326153,0.22037903188567
68.8362801584521,0.649361628974961
66.282114430351,1.03058661537538
72.4937242508729,0.172582851313493
,
,
,
,
,
,
73.37,0.18
71.58,0.3
73.67,0.14
70.71,0.3
76.58,0.21
74.31,1.68
72.47,0.07
73.05,0.06
77.38,0.03
71.32,0.04
75.72,0.04
72.04,0.04
75.43,
75.33,0.03
67.19,0.21
70.57,0.78
65.26,1.66
72.62,0.53
73.21,0.39
72.47,0.51
73.75,0.37
71.33,1.12
70.5,0.74
72.16,0.71
74.77,0.24
69.84,0.56
70.72,0.59
72.6,0.73
75.56,0.23
76.43,0.39
75.07,0.2
76.87,0.22
75.5,0.26
76.17,0.24
75.49,0.23
77.88,0.14
74.29,0.45
77.97,0.11
71.45,0.97
77.01,0.19
77.25,0.11
72.17,0.95
71.67,0.98
72.82,0.73
68.98,1.3
72.2,0.89
73.63,0.76
71.23,1.05
70.64,1.13
72.59,0.7
70.64,1.05
71.5,0.79
73.38,0.6
66.92,0.63
74.45,0.12
66.99,0.54
66.19,0.59
66.45,0.61
67.34,0.74
65.75,0.73
66.27,0.82
77.07,0.01
