time,latitude,longitude,depth,magnitude,description
2010-07-02 06:04:03.570,-13.6098,166.6541,34400.0,6.3,VANUATU ISLANDS
2010-07-04 21:55:52.370,39.6611,142.5792,30100.0,6.3,NEAR EAST COAST OF HONSHU
2010-07-10 11:43:33.000,11.1664,146.0823,16900.0,6.3,SOUTH OF MARIANA ISLANDS
2010-07-12 00:11:20.060,-22.2789,-68.3159,109400.0,6.2,NORTHERN CHILE
2010-07-14 08:32:21.850,-38.0635,-73.4649,25700.0,6.6,NEAR COAST OF CENTRAL CHILE
2010-07-18 05:56:45.840,52.7536,-169.7741,21500.0,6.7,FOX ISLANDS
2010-07-18 13:04:11.530,-5.9807,150.5165,45800.0,6.9,NEW BRITAIN REGION
2010-07-18 13:35:00.900,-6.0444,150.6597,43100.0,7.3,NEW BRITAIN REGION
2010-07-18 19:48:08.730,52.8204,-169.5988,35600.0,6.0,FOX ISLANDS
2010-07-20 19:18:22.780,-5.9808,150.7497,41100.0,6.3,NEW BRITAIN REGION
2010-07-21 09:16:05.010,3.0029,128.1792,111900.0,6.1,NORTH OF HALMAHERA
2010-07-23 22:08:11.220,6.7113,123.4876,610200.0,7.3,MINDANAO
2010-07-23 22:51:13.000,6.4232,123.5796,584700.0,7.7,MINDANAO
2010-07-23 23:15:09.820,6.7403,123.327,633700.0,7.5,MINDANAO
2010-07-24 05:35:01.820,6.1711,123.5626,564700.0,6.6,MINDANAO
2010-07-29 07:31:56.660,6.5583,123.3602,615800.0,6.6,MINDANAO
2010-07-30 03:56:14.650,52.4218,159.9224,30300.0,6.3,OFF EAST COAST OF KAMCHATKA
2010-08-03 12:08:27.540,1.2978,126.2794,50600.0,6.3,NORTHERN MOLUCCA SEA
2010-08-04 07:15:33.420,-5.5179,146.8594,219700.0,6.5,EASTERN NEW GUINEA REG.
2010-08-04 12:58:25.440,51.3848,-178.4933,33300.0,6.4,ANDREANOF ISLANDS
2010-08-04 22:01:43.970,-5.8249,150.7749,46000.0,6.9,NEW BRITAIN REGION
2010-08-04 23:48:02.590,46.0031,153.3012,32000.0,6.0,KURIL ISLANDS
2010-08-10 05:23:46.380,-17.5345,168.0377,33500.0,7.3,VANUATU ISLANDS
2010-08-12 11:54:15.020,-1.2779,-77.3694,206500.0,7.1,ECUADOR
2010-08-13 21:19:34.220,12.4748,141.5621,16400.0,6.9,SOUTH OF MARIANA ISLANDS
2010-08-14 07:30:18.350,12.3454,141.5196,21600.0,6.1,SOUTH OF MARIANA ISLANDS
2010-08-14 23:01:05.980,12.2011,141.4826,28400.0,6.3,SOUTH OF MARIANA ISLANDS
2010-08-15 15:09:29.570,-5.7825,148.3752,180800.0,6.3,NEW BRITAIN REGION
2010-08-16 03:30:54.210,-17.8076,65.6026,14700.0,6.3,MAURITIUS - REUNION REGION
2010-08-16 19:35:48.460,-20.8416,-178.7564,600800.0,6.2,FIJI ISLANDS REGION
2010-08-18 16:28:17.070,12.247,141.5161,18300.0,6.2,SOUTH OF MARIANA ISLANDS
2010-08-20 17:56:15.140,-6.5338,154.2374,23500.0,6.1,SOLOMON ISLANDS
2010-08-21 05:42:54.130,2.1984,96.7234,33200.0,6.0,NORTHERN SUMATRA
2010-08-24 02:11:59.920,18.5693,-107.1592,30000.0,6.2,OFF COAST OF JALISCO
2010-09-03 11:16:08.110,51.6273,-176.0005,45800.0,6.5,ANDREANOF ISLANDS
2010-09-03 16:35:46.480,-43.3608,171.9023,4000.0,7.0,SOUTH ISLAND
2010-09-04 08:52:03.690,-17.4526,-173.9414,64900.00000000001,6.0,TONGA ISLANDS
2010-09-07 16:13:33.500,-15.8867,-179.1931,14700.0,6.3,FIJI ISLANDS REGION
2010-09-08 11:37:37.700,-20.7545,169.9858,50000.0,6.3,VANUATU ISLANDS
2010-09-09 07:28:01.870,-37.0545,-73.5357,18600.0,6.2,NEAR COAST OF CENTRAL CHILE
2010-09-17 19:21:15.200,36.5352,70.9695,215400.0,6.2,HINDU KUSH REGION
2010-09-26 12:12:40.090,-5.2995,133.8975,20400.0,6.0,ARU ISLANDS REGION
2010-09-29 17:10:52.100,-4.9188,133.8073,18300.0,6.2,IRIAN JAYA REGION
2010-09-29 17:11:24.970,-4.9863,133.775,20500.0,7.0,IRIAN JAYA REGION
2010-10-04 13:28:38.940,24.2175,125.2495,32800.0,6.3,SOUTHWESTERN RYUKYU ISL.
2010-10-08 03:26:14.200,51.3459,-175.3166,24400.0,6.4,ANDREANOF ISLANDS
2010-10-08 03:49:11.170,51.4225,-175.1876,32400.0,6.0,ANDREANOF ISLANDS
2010-10-08 05:43:10.020,2.7637,128.2214,140800.0,6.2,HALMAHERA
2010-10-21 17:53:13.770,24.7878,-109.1744,13900.0,6.7,GULF OF CALIFORNIA
2010-10-25 14:42:22.180,-3.5248,100.1042,20000.0,7.8,SOUTHERN SUMATRA
2010-10-25 19:37:30.470,-3.0065,100.37,22600.0,6.3,SOUTHERN SUMATRA
2010-10-30 15:18:36.020,-57.116,-142.4191,10000.0,6.3,PACIFIC-ANTARCTIC RIDGE
2010-11-03 11:18:17.330,-4.6494,134.1064,24600.0,6.0,IRIAN JAYA REGION
2010-11-03 23:34:44.610,-20.519,-174.2158,33100.0,6.1,TONGA ISLANDS
2010-11-10 04:05:25.140,-45.5992,96.3646,15300.0,6.5,SOUTHEAST INDIAN RIDGE
2010-11-21 04:36:33.470,-54.8356,-131.5605,22800.0,6.0,PACIFIC-ANTARCTIC RIDGE
2010-11-23 09:01:07.160,-6.0155,148.978,73000.0,6.1,NEW BRITAIN REGION
2010-11-30 03:24:41.250,28.3941,139.239,485000.0,6.8,BONIN ISLANDS
2010-12-01 16:01:27.140,-15.8273,-178.7687,15000.0,6.0,FIJI ISLANDS REGION
2010-12-02 03:12:09.410,-6.1002,149.9248,30700.0,6.6,NEW BRITAIN REGION
2010-12-08 05:24:35.150,-56.4318,-25.64,29000.0,6.3,SOUTH SANDWICH ISLANDS REGION
2010-12-13 01:14:42.830,-6.5265,155.6959,144800.0,6.2,SOLOMON ISLANDS
2010-12-15 11:29:30.930,-7.2664,128.7939,140400.0,6.0,BANDA SEA
2010-12-20 18:41:59.920,28.3681,59.15,14500.0,6.5,SOUTHERN IRAN
2010-12-21 17:19:41.160,26.8989,143.7048,13800.0,7.4,BONIN ISLANDS
2010-12-22 21:49:42.030,26.7742,143.6076,31900.0,6.4,BONIN ISLANDS
2010-12-23 14:00:33.450,52.9769,171.1047,26400.0,6.4,NEAR ISLANDS
2010-12-24 05:48:54.040,-63.5725,-167.3744,10000.0,6.0,PACIFIC-ANTARCTIC RIDGE
2010-12-25 13:16:38.180,-19.8371,167.9375,15700.0,7.3,VANUATU ISLANDS REGION
