decimal_year,east_m,north_m,up_m
2006.0671,0.0,0.0,0.0
2006.0698,0.0006680000000000019,-0.0015419999999999878,-0.004489
2006.0726,0.0009339999999999904,0.0004899999999999904,0.0015119999999999995
2006.0753,0.0002869999999999262,-0.002330999999999972,0.008339
2006.078,0.00020399999999998197,-0.0003070000000000017,9.499999999999786e-05
2006.0808,0.0007489999999999997,-0.0018320000000000003,0.009527
2006.0835,0.00029599999999996296,-0.0006329999999999947,0.0027599999999999986
2006.0862,0.0003229999999999622,-0.0018759999999999888,0.009408
2006.089,-0.0012530000000000596,9.199999999998099e-05,0.002024999999999999
2006.0917,-0.0020010000000000305,-0.0007079999999999864,0.0027329999999999993
2006.0945,-0.0004210000000000047,-0.0013059999999999738,-0.0006040000000000004
2006.0972,5.899999999992023e-05,0.0007880000000000109,-0.005908999999999998
2006.0999,0.0020379999999999843,-0.00040800000000001946,0.00016599999999999948
2006.1027,0.0010679999999999579,0.000124000000000013,0.002044999999999998
2006.1054,0.0014889999999999626,0.0008940000000000059,-0.002584000000000003
2006.1081,0.0012379999999999614,0.005269000000000024,-0.006449000000000003
2006.1109,-0.0011240000000000139,0.0013980000000000103,0.0015340000000000006
2006.1136,0.0011839999999999629,-0.00016300000000002424,-0.003611000000000003
2006.1164,0.0009149999999999991,0.00019900000000000473,-0.004018000000000001
2006.1191,0.0004870000000000152,0.0019979999999999998,-0.003362999999999998
2006.1218,0.0005629999999999802,0.0008079999999999754,-0.0031870000000000023
2006.1246,0.003414999999999946,0.0015519999999999978,-0.002907
2006.1273,0.0022889999999999855,0.0015290000000000026,0.0010990000000000028
2006.13,0.00044199999999994244,0.002444999999999975,-0.004007999999999998
2006.1328,0.0014959999999999418,0.002458999999999989,0.0004040000000000016
2006.1355,0.0016959999999999198,0.0010609999999999786,0.0009930000000000008
2006.1383,0.001574999999999993,0.0013600000000000279,0.002341999999999997
2006.141,0.00040799999999996395,0.0003750000000000142,-0.006189
2006.1437,-0.00021400000000004749,0.0023009999999999975,-0.005766
2006.1465,0.0003710000000000102,0.0015140000000000153,-0.0036250000000000032
2006.1492,0.0006260000000000154,0.002137,-0.006978999999999999
2006.152,0.002931000000000017,0.0011180000000000079,1.5000000000001124e-05
2006.1547,-0.0009140000000000814,0.0015020000000000033,-0.003584999999999998
2006.1574,0.0018920000000000048,-0.0022599999999999842,0.003464000000000002
2006.1602,-0.001407000000000047,-0.0014480000000000048,0.004291999999999997
2006.1629,0.00037599999999993194,-0.0037619999999999876,-0.001691999999999999
2006.1656,0.0008199999999999319,-0.003373999999999988,-0.008626000000000002
